 time,value1, value2,value3
1711,3,4.47,2047.577880859380
1712,3,4.47,2046.695556640630
1713,3,4.47,2045.940673828130
1714,3,4.47,2045.11962890625
1715,3,4.47,2044.298828125
1716,3,4.47,2043.80810546875
1717,3,4.47,2043.0673828125
1718,3,4.47,2042.331298828130
1719,3,4.47,2041.8408203125
1720,3,4.47,2041.104736328130
1721,3,4.47,2040.36865234375
1722,3,4.47,2039.958251953130
1723,3,4.47,2039.217529296880
1724,3,4.47,2038.236083984380
1725,3,4.47,2037.500244140630
1726,3,4.47,2036.84423828125
1727,3,4.47,2036.028076171880
1728,3,4.47,2035.287353515630
1729,3,4.47,2034.796630859380
1730,3,4.47,2033.8154296875
1731,3,4.47,2033.079345703130
1732,3,4.47,2032.423583984380
1733,3,4.47,2031.607421875
1734,3,4.47,2030.130615234380
1735,3,4.47,2029.4794921875
1736,3,4.47,2028.743408203130
1737,3,4.47,2028.087646484380
1738,3,4.47,2027.351806640630
1739,3,4.47,2026.61572265625
1740,3,4.47,2026.125
1741,3,4.47,2025.1435546875
1742,3,4.47,2024.653076171880
1743,3,4.47,2023.997314453130
1744,3,4.47,2023.26123046875
1745,3,4.47,2022.7705078125
1746,3,4.47,2022.27978515625
1747,3,4.47,2021.463623046880
1748,3,4.47,2020.7275390625
1749,3,4.47,2020.317138671880
1750,3,4.47,2019.335693359380
1751,3,4.47,2018.51953125
1752,3,4.47,2018.02880859375
1753,3,4.47,2017.047607421880
1754,3,4.47,2016.3115234375
1755,3,4.47,2015.580322265630
1756,3,4.47,2014.924560546880
1757,3,4.47,2014.1884765625
1758,3,4.47,2013.126953125
1759,3,4.47,2012.72119140625
1760,3,4.47,2012.0654296875
1761,3,4.47,2011.164306640630
1762,3,4.47,2010.409423828130
1763,3,4.47,2009.92333984375
1764,3,4.47,2008.69677734375
1765,3,4.47,2008.064453125
1766,3,4.47,2007.3095703125
1767,3,4.47,2006.493408203130
1768,3,4.47,2005.67724609375
1769,3,4.47,2005.1865234375
1770,3,4.47,2004.205078125
1771,3,4.47,2003.63427734375
1772,3,4.47,2002.898193359380
1773,3,4.47,2002.1669921875
1774,3,4.47,2001.67626953125
1775,3,4.47,2000.940185546880
1776,3,4.47,2000.208984375
1777,3,4.47,1999.71826171875
1778,3,4.47,1998.74169921875
1779,3,4.47,1998.2509765625
1780,3,4.47,1997.51513671875
1781,3,4.47,1996.61865234375
1782,3,4.47,1996.132568359380
1783,3,4.47,1995.396728515630
1784,3,4.47,1994.419921875
1785,3,4.47,1993.76416015625
1786,3,4.47,1993.3583984375
1787,3,4.47,1992.4619140625
1788,3,4.47,1991.72607421875
1789,3,4.47,1990.99462890625
1790,3,4.47,1990.2587890625
1791,3,4.47,1989.52734375
1792,3,4.47,1988.87646484375
1793,3,4.47,1988.140380859380
1794,3,4.47,1987.408935546880
1795,3,4.47,1986.5927734375
1796,3,4.47,1985.861572265630
